transaction_id,date,store_id,store_city,category,product_name,units_sold,unit_price,revenue,discount_pct
TXN000001,2026-01-01,S01,Vijayawada,Electronics,Smart TV,2,3075.46,5843.37,5
TXN000002,2026-01-01,S01,Vijayawada,Electronics,Laptop,1,11598.06,11598.06,0
TXN000003,2026-01-01,S01,Vijayawada,Electronics,Tablet,3,5738.37,15493.6,10
TXN000004,2026-01-01,S01,Vijayawada,Electronics,Smart TV,3,3281.28,9351.65,5
TXN000005,2026-01-01,S01,Vijayawada,Apparel,Jeans,1,1917.14,1917.14,0
TXN000006,2026-01-01,S01,Vijayawada,Apparel,Formal Shirt,2,936.28,1498.05,20
TXN000007,2026-01-01,S01,Vijayawada,Apparel,T-Shirt,2,1005.41,1910.28,5
TXN000008,2026-01-01,S01,Vijayawada,Apparel,Kurta,3,2728.18,8184.54,0
TXN000009,2026-01-01,S01,Vijayawada,Apparel,T-Shirt,2,1388.8,2777.6,0
TXN000010,2026-01-01,S01,Vijayawada,Apparel,Jeans,2,3363.08,6053.54,10
TXN000011,2026-01-01,S01,Vijayawada,Apparel,Kurta,4,596.79,2387.16,0
TXN000012,2026-01-01,S01,Vijayawada,Apparel,Saree,2,3011.98,5722.76,5
TXN000013,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),3,451.35,1083.24,20
TXN000014,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),2,585.21,1053.38,10
TXN000015,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),6,353.62,1909.55,10
TXN000016,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),1,155.76,155.76,0
TXN000017,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),2,413.69,786.01,5
TXN000018,2026-01-01,S01,Vijayawada,Grocery,Rice (5kg),3,520.42,1561.26,0
TXN000019,2026-01-01,S01,Vijayawada,Grocery,Atta (5kg),2,202.89,365.2,10
TXN000020,2026-01-01,S01,Vijayawada,Grocery,Dal (1kg),3,253.6,722.76,5
TXN000021,2026-01-01,S01,Vijayawada,Grocery,Oil (1L),4,436.0,1744.0,0
TXN000022,2026-01-01,S01,Vijayawada,Grocery,Sugar (1kg),1,399.24,319.39,20
